age_group,year,quarter,employment_to_population_ratio,lf_participation_rate,lu1_unemployment_rate,lu2_unemployment_underemployment_rate,lu3_unemployment_potential_lf_rate,lu4_labour_underutilization_rate,median_monthly_earnings,youth_neet_rate,out_of_lf_inactivity_rate,time_underemployment_rate
Adult,2019,Q1,48.33189748,54.23230601,10.87987763,35.64554476,36.49594811,54.14314348,24000.0,,45.76769399,27.78908564
Adult,2019,Q2,48.92910327,55.94552588,12.54152589,35.60873843,36.85482437,53.50939332,26000.0,,44.05447412,26.37504573
Adult,2019,Q3,47.2591005,53.95333323,12.40744978,35.79408797,38.63844857,55.02158159,26000.0,,46.04666677,26.69934616
Adult,2019,Q4,49.80567498,56.69131919,12.14585284,34.91576662,35.78892365,52.43105973,26000.0,,43.30868081,25.91785877
Adult,2020,Q1,51.93235304,57.5981082,9.836703552,37.66903605,34.14001028,54.47020233,26000.0,,42.4018918,30.86880538
Adult,2020,Q2,46.75734518,56.79906987,17.67938226,0.0,17.67938226,,,,43.20093013,0.0
Adult,2020,Q3,51.00971844,57.98157853,12.02426749,35.64271297,35.68136177,52.94869455,26000.0,,42.01842147,26.84654598
Adult,2020,Q4,48.20246713,57.95578644,16.82889648,42.84333696,37.93393183,57.34709298,26000.0,,42.04421356,31.27821969
Adult,2021,Q1,46.97993049,54.42283421,13.67606782,40.76806633,36.13441161,56.17805862,26000.0,,45.57716579,31.38411079
Adult,2021,Q2,44.29987245,55.35081888,19.96528082,43.85199487,40.40250368,58.18963866,26000.0,,44.64918112,29.84543995
Adult,2021,Q3,46.11757533,54.21551064,14.9365656,39.92517799,37.66686714,55.97812517,26000.0,,45.78448936,29.37644426
Adult,2021,Q4,51.78003916,64.18960065,19.3326666,43.90738153,33.22262468,53.56586516,26000.0,,35.81039935,30.46427085
Adult,2022,Q1,50.88892527,58.54387517,13.07557772,36.60654145,29.97243369,48.92931691,26000.0,,41.45612483,27.07060123
Adult,2022,Q2,47.50613287,58.92762247,19.38223387,46.32015136,37.13506438,58.14098566,26000.0,,41.07237753,33.41436855
Adult,2022,Q3,50.69707416,59.61247976,14.95560264,42.31424236,33.26851565,54.73592203,26000.0,,40.38752024,32.16983196
Adult,2022,Q4,49.66713127,62.49881479,20.53108297,46.58557292,35.8110571,56.8558911,26000.0,,37.50118521,32.78576193
Adult,2023,Q1,51.29027125,60.41685803,15.10602682,38.68879918,33.78456091,52.17860666,26000.0,,39.58314197,27.779089
Adult,2023,Q2,54.50571043,63.18273603,13.73322231,38.61262144,30.63232329,50.63800986,26000.0,,36.81726397,28.84007007
Adult,2023,Q3,51.07734615,60.70868515,15.86484533,40.25097716,34.58481795,53.54506423,31200.0,,39.29131485,28.98447376
Adult,2023,Q4,53.2155402,62.13563332,14.35584164,40.54751983,32.46778767,53.12047439,31200.0,,37.86436668,30.58197861
Adult,2024,Q1,57.39688978,64.00617245,10.32600828,34.70511696,27.77408143,47.40969132,31200.0,,35.99382755,27.18637613
Adult,2024,Q2,55.82943665,65.01130939,14.12350071,41.36718529,31.28639567,53.08527869,39000.0,,34.98869061,31.72426077
Adult,2024,Q3,55.61538265,63.45255123,12.35122691,43.4300177,32.63591546,56.52209454,39000.0,,36.54744877,35.45832953
Adult,2024,Q4,58.38519445,66.56104494,12.28323639,42.54929648,29.48971979,53.81880228,39000.0,,33.43895506,34.5043055
Adult,2025,Q1,60.09348229,66.42830884,9.536335735,41.15617694,27.95294851,53.13561544,39000.0,,33.57169116,34.95308471
Adult,2025,Q2,57.43803052,65.33187557,12.08268549,44.86148475,31.42738937,56.99377355,39000.0,,34.66812443,37.28366755
Adult,2025,Q3,57.3350716,64.90657847,11.66523802,42.62298576,31.99328675,55.82687872,39000.0,,35.09342153,35.04594007
Adult,2025,Q4,60.02006941,66.68030458,9.988309452,43.68658923,29.75462002,56.05285366,39000.0,,33.31969542,37.43767013
Youth,2019,Q1,40.67889887,50.40470732,19.29543681,43.88081646,42.72581525,60.17349752,20800.0,34.38732129,49.59529268,30.4634319
Youth,2019,Q2,41.79522986,51.09397954,18.19930599,39.97469251,41.50279598,57.07478156,20000.0,32.77785949,48.90602046,26.62005107
Youth,2019,Q3,39.94368457,50.28731676,20.56906762,42.44662109,43.99409667,59.41972631,20800.0,35.70038875,49.71268324,27.54286373
Youth,2019,Q4,42.60481433,52.96566594,19.56144879,39.49447958,42.74240528,56.93109195,20800.0,34.44182716,47.03433406,24.78044482
Youth,2020,Q1,44.03974614,53.23963461,17.28014952,45.78778692,39.89107413,60.60633719,20800.0,34.17071893,46.76036539,34.46287347
Youth,2020,Q2,38.85789932,53.34500847,27.15738467,0.0,27.15738467,,,,46.65499153,0.0
Youth,2020,Q3,46.39857077,58.40458239,20.55662609,43.47821934,43.84335974,60.04609135,26000.0,31.81104548,41.59541761,28.85274393
Youth,2020,Q4,41.43409475,54.92642648,24.564372,50.13171207,43.60759924,62.72063278,26000.0,34.73703813,45.07357352,33.89292401
Youth,2021,Q1,36.08831051,46.07385211,21.6729037,47.88687054,44.14548539,62.83848517,20800.0,34.3781887,53.92614789,33.46730324
Youth,2021,Q2,36.54675072,50.74683208,27.98220259,52.1079469,43.31731923,62.30584585,24000.0,37.19724272,49.25316792,33.49969754
Youth,2021,Q3,34.92861718,46.9049302,25.53316458,48.90859553,49.27419222,65.19722173,26000.0,37.71319788,53.0950698,31.3903912
Youth,2021,Q4,40.24380181,57.29872983,29.76493208,52.04458712,42.78771575,60.93634143,26000.0,33.02787373,42.70127017,31.72155406
Youth,2022,Q1,38.83949517,49.49834905,21.53375635,45.50096894,39.92536368,58.27493049,24000.0,31.6030792,50.50165095,30.54461572
Youth,2022,Q2,34.90365368,48.71700806,28.35427487,50.52626224,45.92345122,62.65835835,26000.0,36.23023142,51.28299194,30.94669965
Youth,2022,Q3,40.92042956,52.85844529,22.58487866,50.56914367,42.4353797,63.24402227,26000.0,32.89365792,47.14155471,36.14831899
Youth,2022,Q4,37.96184601,53.98664406,29.68289348,51.93036063,44.27841376,61.90803791,26000.0,36.02664274,46.01335594,31.63876936
Youth,2023,Q1,42.86723153,53.87605703,20.43361395,43.86846132,39.56782876,57.36703743,26000.0,33.18449771,46.12394297,29.45320069
Youth,2023,Q2,42.90579411,54.68418125,21.5389293,44.63270283,38.95144882,56.920123,26000.0,33.65044311,45.31581875,29.43341625
Youth,2023,Q3,46.39518763,58.70896103,20.97426558,45.56643967,40.22350641,58.8254713,30000.0,33.19071813,41.29103897,31.11919714
Youth,2023,Q4,45.68458269,57.32679012,20.30849347,44.17447645,36.68758882,55.64836636,26000.0,31.46471675,42.67320988,29.94796311
Youth,2024,Q1,47.73524029,57.24134582,16.60706153,41.1168797,32.8133948,52.5600485,31200.0,28.42162299,42.75865418,29.39075972
Youth,2024,Q2,47.20841005,59.38050348,20.49846787,45.60195577,34.43595866,55.13852972,31200.0,28.99463243,40.61949652,31.57610581
Youth,2024,Q3,52.62345474,64.82862231,18.82681929,47.91352266,37.46653888,59.87409047,39000.0,29.13118674,35.17137769,35.8328984
Youth,2024,Q4,49.91379118,60.85902549,17.98457045,46.59436952,33.36840456,56.61179386,31200.0,27.25841912,39.14097451,34.88343502
Youth,2025,Q1,50.51777492,58.45069623,13.57198771,43.86906784,29.88983694,54.46674403,31500.0,23.02251503,41.54930377,35.05469965
Youth,2025,Q2,49.05432701,58.01282765,15.44227544,45.92288105,33.00842811,57.15694549,39000.0,24.64219826,41.98717235,36.04709772
Youth,2025,Q3,56.64638477,67.07089021,15.54251839,45.83759591,34.23340554,57.82402226,39000.0,25.5933572,32.92910979,35.87021178
Youth,2025,Q4,52.21821512,60.80735948,14.1251724,45.67439252,32.22867732,57.12692093,39000.0,24.88968564,39.19264052,36.73861247
